edge,count
ecrm:P9_consists_of,2476890
time:inXSDDate,2351105
ecrm:P14_carried_out_by,2340079
efrbroo:R17_created,1586329
mus:U227_has_content_type,1441564
efrbroo:R19_created_a_realisation_of,1382636
mus:U31_had_function,1330056
ecrm:P4_has_time-span,1318651
time:hasBeginning,1235657
time:hasEnd,1115884
ecrm:P3_has_note,1085051
ecrm:P102_has_title,1010270
efrbroo:R9_is_realised_in,957999
efrbroo:R10_has_member,861640
efrbroo:R13_is_realised_in,807946
mus:U167_has_title_proper,787439
mus:U1_used_medium_of_performance,771593
mus:U19_is_categorized_as,710785
efrbroo:R25_performed,652492
mus:U170_has_title_statement,639717
ecrm:P165_incorporates,588294
ecrm:P104_is_subject_to,563303
mus:U51_is_partial_or_full_recording_of,499684
efrbroo:R5_has_component,491622
mus:U10_has_order_number,463709
mus:U54_is_performed_expression_of,457063
efrbroo:R66_included_performed_version_of,445634
ecrm:P141_assigned,441605
mus:U2_foresees_use_of_medium_of_performance,428985
mus:U23_has_casting_detail,417765
efrbroo:R21_created,397722
efrbroo:R22_created_a_realisation_of,397722
foaf:name,393298
mus:U30_foresees_quantity_of_mop,392967
mus:U55_incorporates_performed_expression,392019
mus:U53_has_duration,384948
ecrm:P141i_was_assigned_by,376742
schema:startTime,376742
ecrm:P131_is_identified_by,367322
mus:U58_has_full_published_recording,352516
ecrm:P7_took_place_at,347603
ecrm:P75i_is_possessed_by,331265
foaf:surname,328105
foaf:firstName,306062
efrbroo:R8_consists_of,285397
mus:U172_has_statement_of_responsibility_relatingt_to_title,252697
efrbroo:R3_is_realised_in,251843
mus:U12_has_genre,243811
mus:U225_used_sound_spatialization_technique,237380
efrbroo:R24_created,223167
efrbroo:R12_is_realised_in,221529
ecrm:P1_is_identified_by,211251
mus:U184_has_publication_statement,210084
mus:U185_has_distribution_statement,206663
efrbroo:CLR6_should_carry,199339
mus:U13_has_casting,198439
mus:U220_has_title_and_statement_of_responsibility,187828
ecrm:P2_has_type,184403
efrbroo:R20_recorded,172995
mus:U174_has_cast_statement,172985
mus:U94_has_work_type,172771
mus:CLU206_should_have_media_type,171205
mus:U71_has_uniform_title,157358
mus:U205_has_cast_detail,156581
ecrm:P140_assigned_attribute_to,141830
ecrm:P128_carries,137222
mus:U50_has_annotation,135655
efrbroo:R40_has_representative_expression,135472
ecrm:P90_has_value,128155
ecrm:P91_has_unit,128154
ecrm:P98i_was_born,111873
schema:birthDate,111549
efrbroo:R19i_was_realised_through,106483
efrbroo:CLP43_should_have_dimension,104932
efrbroo:R17i_was_created_by,101863
mus:U68_has_variant_title,99497
geonames:alternateName,96218
mus:U67_has_subtitle,93564
mus:CLU207_should_have_carrier_type,90552
mus:U208_has_extent_of_carrier,89747
mus:U169_was_issued_under_label_name,85582
mus:U229_has_music_format,85469
mus:U27_performed_character,77442
efrbroo:R9i_realises,75675
efrbroo:R10i_is_member_of,75675
mus:redomi-doriskey,73531
efrbroo:R3i_realises,67055
ecrm:P148_has_component,66816
mus:U212_has_technical_features,65752
mus:CLU198_should_have_container,64070
mus:U168_has_parallel_title,54515
ecrm:P100i_died_in,53603
schema:deathDate,53355
mus:U70_has_original_title,52258
mus:CLU53_should_have_duration,51473
mus:U179_has_parallel_statement_of_responsibility_relating_to_edition,48370
mus:U5_had_premiere,46596
mus:U178_has_statement_of_responsibility_relating_to_edition,44619
mus:U17_has_opus_statement,41448
skos:prefLabel,40802
ecrm:P9i_forms_part_of,38625
mus:U221_has_title_proper_of_series,38212
skos:altLabel,37196
ecrm:P10_falls_within,35726
ecrm:P72_has_language,34691
mus:U192_used_noise_reduction_technique,34676
ecrm:P79_beginning_is_qualified_by,34596
mus:U36_foresees_responsibility,34068
mus:U16_has_catalogue_statement,33464
mus:U213_has_recording_method,33096
mus:U218_used_object_of_type_for_mastering,32067
mus:U219_used_object_of_type_for_mixing,32067
mus:U95_has_hierarchical_level,32012
mus:U41_has_catalogue_number,30521
mus:U42_has_opus_number,29792
ecrm:P165i_is_incorporated_in,29709
mus:U59_has_partial_published_recording,28948
mus:CLU217_should_have_playing_speed,28534
mus:U40_has_catalogue_name,28351
ecrm:P41_classified,27578
efrbroo:R18_created,27233
geonames:postalCode,27019
foaf:gender,26468
efrbroo:R12i_realises,26188
efrbroo:R25i_was_performed_by,26188
mus:U11_has_key,26076
mus:CLU210_should_have_pagination,26010
mus:U87_has_medium_of_performance_section,21906
mus:U182_has_music_format_statement,21036
ecrm:P89_falls_within,20713
foaf:isPrimaryTopicOf,20503
mus:U6_foresees_actor,19998
ecrm:P69_has_association_with,19998
mus:U65_has_geographical_context,19037
ecrm:P15_was_influenced_by,19023
mus:U38_has_descriptive_expression,17092
mus:U19i_caterorizes,16024
mus:U19_is_caterorized_as,16024
ecrm:P80_end_is_qualified_by,15555
mus:U31_had_function_of_type,15337
efrbroo:R5i_is_component_of,15181
efrbroo:R2_is_derivative_of,14604
schema:birthPlace,13751
mus:U54i_has_performed_expression,13240
efrbroo:R66i_had_a_performed_version_through,12948
mus:U201_has_illustrative_content,12839
mus:U171_has_parallel_title_statement,12789
mus:U44_has_dedication_statement,11878
skos:broader,10985
skos:exactMatch,10127
skos:closeMatch,9831
mus:U89_occured_in_performance_conditions,9460
mus:U4_had_princeps_publication,9375
geonames:officialName,9366
skos:narrower,9097
dbpprop:birthPlace,8486
mus:U202_has_colour_details,8445
skos:editorialNote,8141
ecrm:P74_has_current_or_former_residence,7306
mus:U172_has_statement_of_responsibility_relating_to_title,7155
mus:U172i_is_statement_of_responsibility_relating_to_title_of,7155
mus:U70_has_title,7056
schema:deathPlace,7002
mus:U78_estimated_duration,6636
mus:U33_has_set_of_characters,6569
mus:U7_foresees_place_at,6453
mus:U47_has_derivation_type,6385
mus:U5i_was_premiere_of,6374
mus:U29_edited,5702
mus:U36_foresees_responsibility_of_type,5594
skos:related,5422
foaf:depiction,5117
mus:CRL6i_should_be_carried_by,5012
efrbroo:R4i_comprises_carriers_of,5012
mus:CRL6_should_carry,5012
efrbroo:R4_carriers_provided_by,5012
dbpprop:deathPlace,4776
efrbroo:is_realised_in,4620
efrbroo:R24i_was_created_through,4620
ecrm:U11_has_key,4605
geonames:name,4511
ecrm:P42_assigned,4444
skos:topConceptOf,4365
geonames:wikipediaArticle,4310
mus:U88_has_member_casting_detail,4191
skos:inScheme,4103
mus:U8_foresees_time_span,4068
ecrm:P87_is_identified_by,3946
geonames:parentFeature,3919
mus:U77_foresees_performing_plan,3832
mus:U81_had_performer_status,3802
foaf:primaryTopic,3728
geonames:locationMap,3727
geonames:featureClass,3727
geonames:featureCode,3726
geonames:countryCode,3697
geonames:parentCountry,3547
ecrm:P17_was_motivated_by,3530
efrbroo:R26_produced_things_of_type,3480
geonames:nearbyFeatures,3418
ecrm:P32_used_general_technique,3406
skos:scopeNote,3395
geonames:parentADM1,3364
geonames:population,2990
geonames:parentADM2,2896
mus:U207_has_carrier_type,2842
mus:U215_has_groove_caracteristics,2803
skos:member,2700
ecrm:P67_refers_to,2620
geonames:parentADM3,2392
ecrm:P129_is_about,2266
skos:note,2221
mus:U35_foresees_function,2199
mus:U21_is_about_actor,1878
geonames:parentADM4,1743
mus:U176_has_edition_statement,1346
ecrm:P95i_was_formed_by,1249
mus:U224_has_title_proper_of_multipart_monograph,1231
ecrm:P16_used_specific_object,1208
mus:U90_foresees_creation_or_performance_mode,993
skos:definition,937
mus:U22_is_about_place,922
mus:U193_used_historical_instruments,892
mus:U63_has_religious_context,837
mus:U200_has_supplementary_content,775
mus:U204_has_reproduction_note,765
mus:U69_has_WoO_number,759
foaf:focus,600
mus:U43_has_opus_subnumber,595
ecrm:P49_has_former_or_current_keeper,505
mus:U195_has_order_or_location_indication,437
skos:notation,374
geonames:shortName,352
modsrdf:noteGroupType,340
geonames:childrenFeatures,309
mus:U203_has_summary_or_abstract,273
mus:U76_has_WoO_subnumber,256
mus:U173_has_parallel_statement_of_responsibility_relating_to_title,199
mus:U24_has_award,180
modsrdf:placeOfOrigin,178
modsrdf:noteGroup,173
modsrdf:noteGroupValue,170
modsrdf:languageOfResource,156
modsrdf:titlePrincipal,154
modsrdf:subjectName,151
geonames:neighbouringFeatures,150
modsrdf:publisher,148
modsrdf:dateOfCopyright,146
modsrdf:namePrincipal,135
modsrdf:identifier,113
mus:U15_has_history,107
mus:U85_has_closely_related_key,107
modsrdf:genre,95
mus:U194_has_system_requirements,88
mus:U32_had_responsibility,73
ecrm:P99i_was_dissolved_by,64
mus:U48_foresees_quantity_of_actors,61
mus:U35_foresees_function_of_type,61
skos:hasTopConcept,41
mus:U222_has_title_proper_of_sub-series,31
mus:U175_has_parallel_cast_statement,30
mus:U3_foresees_use_of_specific_object,23
modsrdf:edition,22
modsrdf:relatedSeries,17
mus:U83_has_relative_key,16
time:intervalBefore,13
time:intervalAfter,13
mus:U84_has_parallel_key,13
mus:U183_has_parallel_music_format_statement,13
mus:U199_has_sponsor,12
foaf:homepage,8
modsrdf:locationUrl,7
ecrm:P103_was_intended_for,6
modsrdf:relatedVersion,4
skos:example,4
foaf:topic_interest,4
time:intervalIn,3
skos:editoralNote,3
skos:relatedMatch,3
schema:affiliation,3
mus:U177_has_parallel_edition_statement,3
skos:description,2
modsrdf:identifierGroup,2
foaf:maker,2
skos:narrowMatch,2
modsrdf:identifierGroupValue,2
modsrdf:identifierGroupType,2
foaf:logo,2
modsrdf:title,1
schema:location,1
