source_type,edge,target_type
efrbroo:F28_Expression_Creation,ecrm:P9_consists_of,ecrm:E7_Activity
efrbroo:F31_Performance,ecrm:P9_consists_of,mus:M42_Performed_Expression_Creation
mus:M42_Performed_Expression_Creation,ecrm:P9_consists_of,mus:M28_Individual_Performance
efrbroo:F30_Publication_Event,ecrm:P9_consists_of,ecrm:E7_Activity
efrbroo:F25_Performance_Plan,ecrm:P9_consists_of,mus:M42_Performed_Expression_Creation
efrbroo:F31_Performance,ecrm:P9_consists_of,mus:M28_Individual_Performance
mus:M29_Editing,ecrm:P9_consists_of,ecrm:E7_Activity
efrbroo:F29_Recording_Event,ecrm:P9_consists_of,ecrm:E7_Activity
efrbroo:F31_Performance,ecrm:P9_consists_of,efrbroo:F31_Performance
efrbroo:F28_Expression_Creation,ecrm:P9_consists_of,efrbroo:F28_Expression_Creation
mus:M42_Performed_Expression_Creation,ecrm:P9_consists_of,ecrm:E7_Activity
efrbroo:F32_Carrier_Production_Event,ecrm:P9_consists_of,ecrm:E7_Activity
mus:M25_Foreseen_Activity,ecrm:P9_consists_of,mus:M25_Foreseen_Activity
mus:M28_Individual_Performance,ecrm:P9_consists_of,mus:M28_Individual_Performance
time:Instant,time:inXSDDate,Literal
ecrm:E7_Activity,ecrm:P14_carried_out_by,ecrm:E21_Person
mus:M28_Individual_Performance,ecrm:P14_carried_out_by,ecrm:E21_Person
mus:M28_Individual_Performance,ecrm:P14_carried_out_by,efrbroo:F11_Corporate_Body
ecrm:E7_Activity,ecrm:P14_carried_out_by,efrbroo:F11_Corporate_Body
ecrm:E7_Activity,ecrm:P14_carried_out_by,ecrm:E39_Actor
mus:M28_Individual_Performance,ecrm:P14_carried_out_by,ecrm:E39_Actor
efrbroo:F28_Expression_Creation,efrbroo:R17_created,efrbroo:F22_Self-Contained_Expression
mus:M42_Performed_Expression_Creation,efrbroo:R17_created,mus:M43_Performed_Expression
efrbroo:F28_Expression_Creation,efrbroo:R17_created,efrbroo:F25_Performance_Plan
mus:M29_Editing,efrbroo:R17_created,mus:M46_Set_of_Tracks
efrbroo:F28_Expression_Creation,efrbroo:R17_created,mus:M46_Set_of_Tracks
efrbroo:F28_Expression_Creation,efrbroo:R17_created,efrbroo:F25_PerformancePlan
mus:M43_Performed_Expression,mus:U227_has_content_type,skos:Concept
efrbroo:F22_Self-Contained_Expression,mus:U227_has_content_type,skos:Concept
mus:M24_Track,mus:U227_has_content_type,skos:Concept
mus:M46_Set_of_Tracks,mus:U227_has_content_type,skos:Concept
efrbroo:F24_Publication_Expression,mus:U227_has_content_type,skos:Concept
efrbroo:F28_Expression_Creation,efrbroo:R19_created_a_realisation_of,efrbroo:F14_Individual_Work
efrbroo:F30_Publication_Event,efrbroo:R19_created_a_realisation_of,efrbroo:F19_Publication_Work
mus:M42_Performed_Expression_Creation,efrbroo:R19_created_a_realisation_of,mus:M44_Performed_Work
efrbroo:F28_Expression_Creation,efrbroo:R19_created_a_realisation_of,efrbroo:F20_Performance_Work
efrbroo:F30_Publication_Event,efrbroo:R19_created_a_realisation_of,efrbroo:F19_Publication_Expression
ecrm:E7_Activity,mus:U31_had_function,skos:Concept
mus:M28_Individual_Performance,mus:U31_had_function,skos:Concept
mus:M28_Individual_Performance,mus:U31_had_function,mus:M31_Actor_Function
ecrm:E7_Activity,mus:U31_had_function,Literal
ecrm:E67_Birth,ecrm:P4_has_time-span,time:Interval
ecrm:E67_Birth,ecrm:P4_has_time-span,ecrm:E52_Time-Span
ecrm:E69_Death,ecrm:P4_has_time-span,time:Interval
ecrm:E69_Death,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F28_Expression_Creation,ecrm:P4_has_time-span,time:Interval
efrbroo:F28_Expression_Creation,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F30_Publication_Event,ecrm:P4_has_time-span,time:Interval
efrbroo:F30_Publication_Event,ecrm:P4_has_time-span,ecrm:E52_Time-Span
mus:M42_Performed_Expression_Creation,ecrm:P4_has_time-span,time:Interval
mus:M42_Performed_Expression_Creation,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F31_Performance,ecrm:P4_has_time-span,time:Interval
efrbroo:F31_Performance,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F29_Recording_Event,ecrm:P4_has_time-span,time:Interval
efrbroo:F29_Recording_Event,ecrm:P4_has_time-span,ecrm:E52_Time-Span
ecrm:E66_Formation,ecrm:P4_has_time-span,time:Interval
ecrm:E66_Formation,ecrm:P4_has_time-span,ecrm:E52_Time-Span
ecrm:E68_Dissolution,ecrm:P4_has_time-span,time:Interval
ecrm:E68_Dissolution,ecrm:P4_has_time-span,ecrm:E52_Time-Span
ecrm:E13_Attribute_Assignment,ecrm:P4_has_time-span,time:Interval
ecrm:E13_Attribute_Assignment,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F32_Carrier_Production_Event,ecrm:P4_has_time-span,time:Interval
efrbroo:F32_Carrier_Production_Event,ecrm:P4_has_time-span,ecrm:E52_Time-Span
efrbroo:F24_Publication_Expression,ecrm:P4_has_time-span,Literal
time:Interval,time:hasBeginning,time:Instant
ecrm:E52_Time-Span,time:hasBeginning,time:Instant
ecrm:E4_Period,time:hasBeginning,time:Instant
time:Interval,time:hasEnd,time:Instant
ecrm:E52_Time-Span,time:hasEnd,time:Instant
ecrm:E4_Period,time:hasEnd,time:Instant
ecrm:E21_Person,ecrm:P3_has_note,Literal
efrbroo:F22_Self-Contained_Expression,ecrm:P3_has_note,Literal
efrbroo:F28_Expression_Creation,ecrm:P3_has_note,Literal
mus:M1_Catalogue_Statement,ecrm:P3_has_note,Literal
efrbroo:F31_Performance,ecrm:P3_has_note,Literal
mus:M15_Dedication_Statement,ecrm:P3_has_note,Literal
mus:M2_Opus_Statement,ecrm:P3_has_note,Literal
mus:M6_Casting,ecrm:P3_has_note,Literal
mus:M42_Performed_Expression_Creation,ecrm:P3_has_note,Literal
efrbroo:F30_Publication_Event,ecrm:P3_has_note,Literal
ecrm:E1_CRM_Entity,ecrm:P3_has_note,Literal
mus:M33_Set_of_Characters,ecrm:P3_has_note,Literal
mus:M23_Casting_Detail,ecrm:P3_has_note,Literal
efrbroo:F4_Manifestation_Singleton,ecrm:P3_has_note,Literal
efrbroo:F29_Recording_Event,ecrm:P3_has_note,Literal
mus:M28_Individual_Performance,ecrm:P3_has_note,Literal
mus:M43_Performed_Expression,ecrm:P3_has_note,Literal
efrbroo:F38_Character,ecrm:P3_has_note,Literal
efrbroo:F11_Corporate_Body,ecrm:P3_has_note,Literal
efrbroo:F24_Publication_Expression,ecrm:P3_has_note,Literal
mus:M154_Label_Name,ecrm:P3_has_note,Literal
ecrm:E22_Man-Made_Object,ecrm:P3_has_note,Literal
mus:M15_Dedication,ecrm:P3_has_note,Literal
mus:M157_Statement_of_Responsibility,ecrm:P3_has_note,Literal
ecrm:E39_Actor,ecrm:P3_has_note,Literal
ecrm:E53_Place,ecrm:P3_has_note,Literal
mus:M26_Foreseen_Performance,ecrm:P3_has_note,Literal
mus:M171_Container,ecrm:P3_has_note,Literal
mus:M36_Award,ecrm:P3_has_note,Literal
efrbroo:F22_Self-Contained_Expression,ecrm:P102_has_title,Literal
efrbroo:F31_Performance,ecrm:P102_has_title,Literal
mus:M24_Track,ecrm:P102_has_title,Literal
mus:M46_Set_of_Tracks,ecrm:P102_has_title,Literal
efrbroo:F4_Manifestation_Singleton,ecrm:P102_has_title,Literal
mus:M43_Performed_Expression,ecrm:P102_has_title,Literal
mus:M25_Foreseen_Activity,ecrm:P102_has_title,Literal
mus:M26_Foreseen_Performance,ecrm:P102_has_title,Literal
mus:M44_Performed_Work,efrbroo:R9_is_realised_in,mus:M43_Performed_Expression
efrbroo:F14_Individual_Work,efrbroo:R9_is_realised_in,efrbroo:F22_Self-Contained_Expression
efrbroo:F20_Performance_Work,efrbroo:R9_is_realised_in,efrbroo:F25_Performance_Plan
efrbroo:F15_Complex_Work,efrbroo:R10_has_member,efrbroo:F14_Individual_Work
efrbroo:F15_Complex_Work,efrbroo:R10_has_member,mus:M44_Performed_Work
efrbroo:F15_Complex_Work,efrbroo:R13_is_realised_in,mus:M43_Performed_Expression
efrbroo:F21_Recording_Work,efrbroo:R13_is_realised_in,efrbroo:F26_Recording
efrbroo:F24_Publication_Expression,mus:U167_has_title_proper,Literal
mus:M46_Set_of_Tracks,mus:U167_has_title_proper,Literal
mus:M28_Individual_Performance,mus:U1_used_medium_of_performance,skos:Concept
mus:M28_Individual_Performance,mus:U1_used_medium_of_performance,mus:M14_Medium_Of_Performance
mus:M43_Performed_Expression,mus:U19_is_categorized_as,mus:M19_Categorization
efrbroo:F31_Performance,mus:U19_is_categorized_as,mus:M19_Categorization
efrbroo:F22_Self-Contained_Expression,mus:U19_is_categorized_as,mus:M19_Categorization
efrbroo:F31_Performance,efrbroo:R25_performed,efrbroo:F25_Performance_Plan
mus:M42_Performed_Expression_Creation,efrbroo:R25_performed,efrbroo:F25_Performance_Plan
efrbroo:F31_Performance,efrbroo:R25_performed,efrbroo:F25_PerformancePlan
mus:M42_Performed_Expression_Creation,efrbroo:R25_performed,efrbroo:F25_PerformancePlan
efrbroo:F24_Publication_Expression,mus:U170_has_title_statement,mus:M156_Title_Statement
mus:M167_Publication_Expression_Fragment,mus:U170_has_title_statement,mus:M156_Title_Statement
mus:M46_Set_of_Tracks,mus:U170_has_title_statement,mus:M156_Title_Statement
efrbroo:F24_Publication_Expression,ecrm:P165_incorporates,efrbroo:F22_Self-Contained_Expression
efrbroo:F25_Performance_Plan,ecrm:P165_incorporates,efrbroo:F22_Self-Contained_Expression
efrbroo:F24_Publication_Expression,ecrm:P165_incorporates,efrbroo:F24_Publication_Expression
efrbroo:F25_PerformancePlan,ecrm:P165_incorporates,efrbroo:F22_Self-Contained_Expression
mus:M24_Track,mus:U51_is_partial_or_full_recording_of,mus:M43_Performed_Expression
mus:M46_Set_of_Tracks,mus:U51_is_partial_or_full_recording_of,mus:M43_Performed_Expression
efrbroo:F22_Self-Contained_Expression,efrbroo:R5_has_component,efrbroo:F22_Self-Contained_Expression
mus:M46_Set_of_Tracks,efrbroo:R5_has_component,mus:M24_Track
mus:M46_Set_of_Tracks,efrbroo:R5_has_component,mus:M46_Set_of_Tracks
efrbroo:F24_Publication_Expression,efrbroo:R5_has_component,efrbroo:F24_Publication_Expression
efrbroo:F25_PerformancePlan,efrbroo:R5_has_component,efrbroo:F25_PerformancePlan
efrbroo:F25_Performance_Plan,efrbroo:R5_has_component,efrbroo:F25_Performance_Plan
efrbroo:F22_Self-Contained_Expression,mus:U10_has_order_number,Literal
mus:M24_Track,mus:U10_has_order_number,Literal
mus:M42_Performed_Expression_Creation,mus:U10_has_order_number,Literal
mus:M46_Set_of_Tracks,mus:U10_has_order_number,Literal
mus:M43_Performed_Expression,mus:U54_is_performed_expression_of,efrbroo:F22_Self-Contained_Expression
efrbroo:F31_Performance,efrbroo:R66_included_performed_version_of,efrbroo:F22_Self-Contained_Expression
efrbroo:F42_Representative_Expression_Assignment,ecrm:P141_assigned,efrbroo:F22_Self-Contained_Expression
mus:M45_Descriptive_Expression_Assignment,ecrm:P141_assigned,efrbroo:F22_Self-Contained_Expression
mus:M23_Casting_Detail,mus:U2_foresees_use_of_medium_of_performance,skos:Concept
mus:M23_Casting_Detail,mus:U2_foresees_use_of_medium_of_performance,mus:M14_Medium_Of_Performance
mus:M27_Foreseen_Individual_Performance,mus:U2_foresees_use_of_medium_of_performance,skos:Concept
mus:M6_Casting,mus:U23_has_casting_detail,mus:M23_Casting_Detail
efrbroo:F29_Recording_Event,efrbroo:R21_created,efrbroo:F26_Recording
efrbroo:F29_Recording_Event,efrbroo:R22_created_a_realisation_of,efrbroo:F21_Recording_Work
ecrm:E21_Person,foaf:name,Literal
ecrm:E39_Actor,foaf:name,Literal
mus:M23_Casting_Detail,mus:U30_foresees_quantity_of_mop,Literal
efrbroo:F24_Publication_Expression,mus:U55_incorporates_performed_expression,mus:M43_Performed_Expression
mus:M24_Track,mus:U53_has_duration,Literal
mus:M46_Set_of_Tracks,mus:U53_has_duration,Literal
mus:M43_Performed_Expression,mus:U53_has_duration,Literal
efrbroo:F26_Recording,mus:U53_has_duration,Literal
efrbroo:F22_Self-Contained_Expression,mus:U53_has_duration,Literal
ecrm:E21_Person,ecrm:P131_is_identified_by,Literal
efrbroo:F11_Corporate_Body,ecrm:P131_is_identified_by,Literal
ecrm:E39_Actor,ecrm:P131_is_identified_by,Literal
efrbroo:F24_Publication_Expression,mus:U58_has_full_published_recording,efrbroo:F22_Self-Contained_Expression
efrbroo:F29_Recording_Event,ecrm:P7_took_place_at,geonames:Feature
efrbroo:F29_Recording_Event,ecrm:P7_took_place_at,ecrm:E53_Place
efrbroo:F31_Performance,ecrm:P7_took_place_at,geonames:Feature
efrbroo:F31_Performance,ecrm:P7_took_place_at,ecrm:E53_Place
mus:M42_Performed_Expression_Creation,ecrm:P7_took_place_at,geonames:Feature
mus:M42_Performed_Expression_Creation,ecrm:P7_took_place_at,ecrm:E53_Place
efrbroo:F30_Publication_Event,ecrm:P7_took_place_at,geonames:Feature
efrbroo:F30_Publication_Event,ecrm:P7_took_place_at,ecrm:E53_Place
ecrm:E21_Person,foaf:surname,Literal
ecrm:E39_Actor,foaf:surname,Literal
ecrm:E21_Person,foaf:firstName,Literal
ecrm:E42_Identifier,efrbroo:R8_consists_of,mus:M154_Label_Name
ecrm:E42_Identifier,efrbroo:R8_consists_of,Literal
ecrm:E42_Identifier,efrbroo:R8_consists_of,ecrm:E21_Person
mus:M167_Publication_Expression_Fragment,mus:U172_has_statement_of_responsibility_relatingt_to_title,mus:M157_Statement_of_Responsibility
efrbroo:F24_Publication_Expression,mus:U172_has_statement_of_responsibility_relatingt_to_title,mus:M157_Statement_of_Responsibility
mus:M46_Set_of_Tracks,mus:U172_has_statement_of_responsibility_relatingt_to_title,mus:M157_Statement_of_Responsibility
efrbroo:F19_Publication_Work,efrbroo:R3_is_realised_in,efrbroo:F24_Publication_Expression
efrbroo:F15_Complex_Work,efrbroo:R3_is_realised_in,efrbroo:F22_Self-Contained_Expression
efrbroo:F22_Self-Contained_Expression,mus:U12_has_genre,skos:Concept
mus:M43_Performed_Expression,mus:U12_has_genre,skos:Concept
efrbroo:F22_Self-Contained_Expression,mus:U12_has_genre,mus:M5_Genre
mus:M43_Performed_Expression,mus:U12_has_genre,mus:M5_Genre
efrbroo:F22_Self-Contained_Expression,mus:U12_has_genre,Literal
mus:M29_Editing,mus:U225_used_sound_spatialization_technique,skos:Concept
efrbroo:F29_Recording_Event,mus:U225_used_sound_spatialization_technique,skos:Concept
efrbroo:F30_Publication_Event,efrbroo:R24_created,efrbroo:F24_Publication_Expression
efrbroo:F20_Performance_Work,efrbroo:R12_is_realised_in,efrbroo:F25_Performance_Plan
efrbroo:F20_Performance_Work,efrbroo:R12_is_realised_in,efrbroo:F25_PerformancePlan
mus:M4_Key,ecrm:P1_is_identified_by,Literal
mus:M14_Medium_Of_Performance,ecrm:P1_is_identified_by,Literal
mus:M40_Context,ecrm:P1_is_identified_by,Literal
mus:M31_Actor_Function,ecrm:P1_is_identified_by,Literal
geonames:Feature,ecrm:P1_is_identified_by,Literal
ecrm:E53_Place,ecrm:P1_is_identified_by,Literal
mus:M50_Creation_or_Performance_Mode,ecrm:P1_is_identified_by,Literal
efrbroo:F24_Publication_Expression,ecrm:P1_is_identified_by,ecrm:E42_Identifier
mus:M154_Label_Name,ecrm:P1_is_identified_by,Literal
efrbroo:F4_Manifestation_Singleton,ecrm:P1_is_identified_by,ecrm:E42_Identifier
mus:M46_Set_of_Tracks,ecrm:P1_is_identified_by,ecrm:E42_Identifier
mus:M5_Genre,ecrm:P1_is_identified_by,Literal
ecrm:E4_Period,ecrm:P1_is_identified_by,Literal
efrbroo:F24_Publication_Expression,mus:U184_has_publication_statement,mus:M160_Publication_Statement
efrbroo:F24_Publication_Expression,mus:U185_has_distribution_statement,mus:M161_Distribution_Statement
efrbroo:F3_Manifestation_Product_Type,efrbroo:CLR6_should_carry,efrbroo:F24_Publication_Expression
efrbroo:F22_Self-Contained_Expression,mus:U13_has_casting,mus:M6_Casting
efrbroo:F24_Publication_Expression,mus:U13_has_casting,mus:M6_Casting
efrbroo:F24_Publication_Expression,mus:U220_has_title_and_statement_of_responsibility,mus:M158_Title_and_Statement_of_Responsibility
mus:M167_Publication_Expression_Fragment,mus:U220_has_title_and_statement_of_responsibility,mus:M158_Title_and_Statement_of_Responsibility
ecrm:E42_Identifier,ecrm:P2_has_type,skos:Concept
efrbroo:F31_Performance,ecrm:P2_has_type,Literal
mus:M25_Foreseen_Activity,ecrm:P2_has_type,Literal
efrbroo:F4_Manifestation_Singleton,ecrm:P2_has_type,Literal
mus:M26_Foreseen_Performance,ecrm:P2_has_type,Literal
efrbroo:F29_Recording_Event,efrbroo:R20_recorded,efrbroo:F31_Performance
efrbroo:F24_Publication_Expression,mus:U174_has_cast_statement,mus:M155_Cast_Statement
mus:M46_Set_of_Tracks,mus:U174_has_cast_statement,mus:M155_Cast_Statement
efrbroo:F14_Individual_Work,mus:U94_has_work_type,skos:Concept
efrbroo:F15_Complex_Work,mus:U94_has_work_type,skos:Concept
efrbroo:F22_Self-Contained_Expression,mus:U94_has_work_type,skos:Concept
efrbroo:F3_Manifestation_Product_Type,mus:CLU206_should_have_media_type,Literal
efrbroo:F22_Self-Contained_Expression,mus:U71_has_uniform_title,Literal
efrbroo:F31_Performance,mus:U205_has_cast_detail,Literal
mus:M42_Performed_Expression_Creation,mus:U205_has_cast_detail,Literal
efrbroo:F42_Representative_Expression_Assignment,ecrm:P140_assigned_attribute_to,efrbroo:F15_Complex_Work
mus:M45_Descriptive_Expression_Assignment,ecrm:P140_assigned_attribute_to,efrbroo:F15_Complex_Work
efrbroo:F4_Manifestation_Singleton,ecrm:P128_carries,efrbroo:F26_Recording
efrbroo:F4_Manifestation_Singleton,ecrm:P128_carries,mus:M43_Performed_Expression
efrbroo:F4_Manifestation_Singleton,ecrm:P128_carries,efrbroo:F22_Self-Contained_Expression
efrbroo:F4_Manifestation_Singleton,ecrm:P128_carries,mus:M46_Set_of_Tracks
mus:M156_Title_Statement,mus:U50_has_annotation,Literal
efrbroo:F24_Publication_Expression,mus:U50_has_annotation,Literal
mus:M155_Cast_Statement,mus:U50_has_annotation,Literal
mus:M158_Title_and_Statement_of_Responsibility,mus:U50_has_annotation,Literal
efrbroo:F15_Complex_Work,efrbroo:R40_has_representative_expression,efrbroo:F22_Self-Contained_Expression
ecrm:E54_Dimension,ecrm:P90_has_value,Literal
ecrm:E54_Dimension,ecrm:P91_has_unit,Literal
ecrm:E21_Person,ecrm:P98i_was_born,ecrm:E67_Birth
ecrm:E21_Person,ecrm:P98i_was_born,Literal
ecrm:E39_Actor,ecrm:P98i_was_born,Literal
ecrm:E21_Person,schema:birthDate,Literal
efrbroo:F14_Individual_Work,efrbroo:R19i_was_realised_through,efrbroo:F28_Expression_Creation
mus:M44_Performed_Work,efrbroo:R19i_was_realised_through,mus:M42_Performed_Expression_Creation
efrbroo:F20_Performance_Work,efrbroo:R19i_was_realised_through,efrbroo:F28_Expression_Creation
efrbroo:F19_Publication_Expression,efrbroo:R19i_was_realised_through,efrbroo:F30_Publication_Event
efrbroo:F3_Manifestation_Product_Type,efrbroo:CLP43_should_have_dimension,ecrm:E54_Dimension
efrbroo:F22_Self-Contained_Expression,efrbroo:R17i_was_created_by,efrbroo:F28_Expression_Creation
mus:M43_Performed_Expression,efrbroo:R17i_was_created_by,mus:M42_Performed_Expression_Creation
efrbroo:F25_PerformancePlan,efrbroo:R17i_was_created_by,efrbroo:F28_Expression_Creation
efrbroo:F22_Self-Contained_Expression,mus:U68_has_variant_title,Literal
efrbroo:F31_Performance,mus:U68_has_variant_title,Literal
efrbroo:F24_Publication_Expression,mus:U68_has_variant_title,Literal
mus:M46_Set_of_Tracks,mus:U68_has_variant_title,Literal
geonames:Feature,geonames:alternateName,Literal
ecrm:E53_Place,geonames:alternateName,Literal
efrbroo:F22_Self-Contained_Expression,mus:U67_has_subtitle,Literal
mus:M46_Set_of_Tracks,mus:U67_has_subtitle,Literal
mus:M43_Performed_Expression,mus:U67_has_subtitle,Literal
efrbroo:F24_Publication_Expression,mus:U67_has_subtitle,Literal
mus:M26_Foreseen_Performance,mus:U67_has_subtitle,Literal
efrbroo:F3_Manifestation_Product_Type,mus:CLU207_should_have_carrier_type,Literal
efrbroo:F3_Manifestation_Product_Type,mus:U208_has_extent_of_carrier,Literal
efrbroo:F24_Publication_Expression,mus:U169_was_issued_under_label_name,mus:M154_Label_Name
efrbroo:F24_Publication_Expression,mus:U229_has_music_format,skos:Concept
mus:M28_Individual_Performance,mus:U27_performed_character,efrbroo:F38_Character
